2026-04-13 17:26:29 | INFO    | rok.main             | Config loaded: config.yaml
2026-04-13 17:26:29 | INFO    | rok.WindowCapture    | DPI scale: 1.00
2026-04-13 17:26:29 | INFO    | rok.test             | ==================================================
2026-04-13 17:26:29 | INFO    | rok.test             | Running basic functionality test
2026-04-13 17:26:29 | INFO    | rok.test             | ==================================================
2026-04-13 17:26:29 | INFO    | rok.test             | Test 1: Window search...
2026-04-13 17:26:29 | ERROR   | rok.WindowCapture    | Window not found: 万国觉醒
2026-04-13 17:26:29 | WARNING | rok.test             |   SKIP - Window '万国觉醒' not found
2026-04-13 17:26:29 | INFO    | rok.test             | Test 2: Screen capture...
2026-04-13 17:26:29 | ERROR   | rok.WindowCapture    | Invalid window handle
2026-04-13 17:26:29 | WARNING | rok.test             |   SKIP - Capture returned None (window may not be active)
2026-04-13 17:26:29 | INFO    | rok.test             | Test 3: Model loading...
2026-04-13 17:26:29 | INFO    | rok.YOLODetector     | Model loaded: yolov8n.pt, classes: 80, device: cpu
2026-04-13 17:26:29 | INFO    | rok.test             |   PASS - Model loaded, classes: ['person', 'bicycle', 'car', 'motorcycle', 'airplane', 'bus', 'train', 'truck', 'boat', 'traffic light', 'fire hydrant', 'stop sign', 'parking meter', 'bench', 'bird', 'cat', 'dog', 'horse', 'sheep', 'cow', 'elephant', 'bear', 'zebra', 'giraffe', 'backpack', 'umbrella', 'handbag', 'tie', 'suitcase', 'frisbee', 'skis', 'snowboard', 'sports ball', 'kite', 'baseball bat', 'baseball glove', 'skateboard', 'surfboard', 'tennis racket', 'bottle', 'wine glass', 'cup', 'fork', 'knife', 'spoon', 'bowl', 'banana', 'apple', 'sandwich', 'orange', 'broccoli', 'carrot', 'hot dog', 'pizza', 'donut', 'cake', 'chair', 'couch', 'potted plant', 'bed', 'dining table', 'toilet', 'tv', 'laptop', 'mouse', 'remote', 'keyboard', 'cell phone', 'microwave', 'oven', 'toaster', 'sink', 'refrigerator', 'book', 'clock', 'vase', 'scissors', 'teddy bear', 'hair drier', 'toothbrush']
2026-04-13 17:26:29 | INFO    | rok.test             | Test 4: Safety config check...
2026-04-13 17:26:29 | INFO    | rok.test             |   PASS - Safety: delay=[0.05,0.3]s, offset=+/-5px, max_actions=30/min
2026-04-13 17:26:29 | INFO    | rok.test             | ==================================================
2026-04-13 17:26:29 | INFO    | rok.test             | Test completed
2026-04-13 17:26:29 | INFO    | rok.test             | ==================================================
2026-04-13 17:28:44 | INFO    | rok.main             | ============================================================
2026-04-13 17:28:44 | INFO    | rok.main             | 万国觉醒辅助工具 - ROK Assistant v1.0.0
2026-04-13 17:28:44 | INFO    | rok.main             | ============================================================
2026-04-13 17:28:44 | INFO    | rok.main             | Initializing application...
2026-04-13 17:28:44 | INFO    | rok.ConfigManager    | Config loaded: config.yaml
